Date_Range,Event,embed_link,Drive_Link,Sketch_ID,tag1,tag2,tag3
11-15-19,Meeting with Alex and Miriah,https://docs.google.com/document/d/e/2PACX-1vQRC_xaTgXu-KayMAnKvQofliSz0JYGrNoVTEmR13tcEnRN50w1BZrTH_MKOeQE8pd4303-hyUaL619/pub?embedded=true,https://docs.google.com/document/d/164yad8Dfb6j4Xr6oFD4_IsvjFh3U8NzzhKXXd_IhuXY/edit?usp=sharing,null ,meeting/assesment,brainstorming,
11-22-19,Meeting with Alex and Miriah,https://docs.google.com/document/d/e/2PACX-1vRAZk8KNJlVk8N1Z03ayfQ1ofMSIxypOYUMdXicx1VsC2b0_xP9LHv4ZjsBOOHWgE09A1xKU8NNSTKS/pub?embedded=true,https://docs.google.com/document/d/1XQx54__V75BoxlbUPAn3ZgeT62sLIhUWqmWkWf23c9c/edit?usp=sharing,null,meeting/assesment,,
12-02-19,Notes on Tree Topology,https://docs.google.com/document/d/e/2PACX-1vRwKPAkHDZFqBAiauJo5_0sCaXqpsJEi_4-eZuZ3d1pCJ31ZTp5VZjXKtsAl56z-rdcoU5Gpi_TakkC/pub?embedded=true,https://docs.google.com/document/d/1PFNrVBxkLiKqikxkR4V0MOC4lxoH-5Kye9FWFNaA4Qw/edit?usp=sharing,null,domain,,
12-05-19,Sketchbook,null,null,1205,sketch,,
12-10-19,Revisited descrete summary view,null,null,view-1210,view,,
12-11-19,Sent out emails to get datasets from 4 other labs in Utah,https://docs.google.com/document/d/e/2PACX-1vSPu-WfL_48S73UBfWpVY7alUnC43RDzU4YHCFkiUD-x0I119KYAqcgOoswvRXTgRVJ9zTS-GyujKYE/pub?embedded=true,https://docs.google.com/document/d/1NndOC1sUSpBnO1jVdpJVa1XwbgYmshqIkaPDd5U5u1A/edit?usp=sharing,null,correspondance,,
12-11-19,"Brainstormed names, made sample logo",null,null,Flux-Logo,sketch,,
12-17-19,Meeting with Miriah,https://docs.google.com/document/d/e/2PACX-1vQqCY2_iCMMtVmp869Gz-Gh_QwyM2pMMpGJdKdVDH3O4z5m3CvpbgCH6TLqBlJaQd2OfFLjs1EKSvTe/pub?embedded=true,https://docs.google.com/document/d/1I4CgfP46gj_Fmf2ofQvkUBhBe4ovv5LPNn4qipF0f7U/edit?usp=sharing,null,meeting/assesment,,
12-20-19,Adding multiple traits to ranking system,null,null,view-1220,view,iteration,
12-27-19,Added Histogram for multiple traits in ranking,null,null,view-1227,view,iteration,
12-28-19,Updated DIscrete Summary View,null,null,view-1228,view,iteration,
12-30-19,Showed Alex new discrete view. He suggested Jitter and circles instead of bars to handle marks with same values,null,null,view-1230,view,iteration,
